file_name,status,reason,model,pincode
5-28D6P2OX.wav_transcription.json,Hot,"The customer showed interest in the Tiago model, specifically discussed different variants, on-road pricing, and inquired in detail about the Diwali discount and BH number benefits for CAPF members.",Tiago,110059
7-24ZU03Z7.wav_transcription.json,Cold,"The lead barely gave any inputs, was not engaged, and seemed to discuss irrelevant topics not related to the car features or purchase.",,
5-28CBJ941.wav_transcription.json,Cold,The lead did not appear to have made the inquiry and was not directly interested or involved in the purchase decision. There was also a general lack of engagement or urgency in the conversation as the buying decision is reliant on another party.,Tiago,
7-24Z186KH.wav_transcription.json,Cold,"The customer did not show active interest, had financial constraints, and mentioned not having immediate plans or decision-making regarding purchasing the vehicle.",Curvv,261121
7-24Z4PBT1.wav_transcription.json,Warm,"The customer expressed interest in a specific model (Adventure LR) and plans to make a purchase next month. However, the conversation lacked urgency, and the customer showed general interest without actively engaging in detailed discussions or asking about financing options.",Adventure LR,600010
7-24Z9NYC0.wav_transcription.json,Hot,"Mr. Narendra showed strong interest by inquiring about multiple variants and their pricing, mentioned urgency by agreeing to book the car within a month, and asked about festival offers.",Tiago,784102
5-28H1ZE8V.wav_transcription.json,Hot,The customer expressed immediate interest in purchasing within a week and confirmed the booking. The customer actively engaged by confirming details such as the PIN code and contact information.,Tiago,182203
5-28DM17CV.wav_transcription.json,Hot,The lead showed strong engagement by asking about specific car details and on-road pricing. They confirmed interest in the Tata Nexon petrol variant with 5-speed manual transmission and planned to purchase within two months. They also verified their contact details promptly.,Nexon,
5-28EBOSK1.wav_transcription.json,Hot,"Customer expressed interest in purchasing the Nexon and showed urgency by planning within a month. They asked about pricing, discounts, and shared their contact details for further follow-up.",Nexon,768029
5-28DV59OR.wav_transcription.json,Warm,"The customer showed interest by discussing offers and variants, but did not show urgency to book immediately. They also mentioned considering other models and comparing with other cars.",Harrier,451001
5-28KFRL0U.wav_transcription.json,Warm,"The customer showed interest in the Tata Tiago, specified preference for petrol and manual variants, but did not exhibit urgency or detailed engagement regarding immediate purchase.",Tiago,302021
5-28A66US4.wav_transcription.json,Warm,The lead expressed interest in buying a Safari after six months once their current loan clears. They are asking basic questions but lack urgency or commitment for an immediate purchase.,Safari,
5-287B274Z.wav_transcription.json,Warm,"Customer expressed interest in the Tata Tiago with some inquiries about pricing and specifications but seemed to lack urgency and commitment, planning to purchase within 2-3 months.",Tiago,788152
5-287HNBVT.wav_transcription.json,Warm,The lead expressed an interest in the Tiago but mentioned a timeframe of 1-2 months for purchasing the car. They asked about model specifics and confirmed details for follow-up but did not display urgency.,Tiago,531024
5-28EMX3K6.wav_transcription.json,Hot,"Customer expressed immediate interest in purchasing a Tata Punch EV, inquired about offers, preferences, and mentioned a plan to purchase within a month.",Punch,481116
5-2828UL7X.wav_transcription.json,Warm,"The lead expressed general interest in the Tata Nexon, confirming details like fuel type and personal use. However, there was no urgency as the purchase intent is for 3-6 months later.",Nexon,518501
5-282QPJOO.wav_transcription.json,Warm,The customer indicated interest in purchasing a Punch around Diwali but did not express urgency or specify immediate intent and inquired general details about models and pricing. They hesitated to engage deeply on details and preferred basic information.,Punch,262308
5-28HGM3L9.wav_transcription.json,Cold,"The lead repeated 'no Madam' multiple times, did not show engagement or interest in the discussed vehicle model, and there was a lack of detailed discussion about car features or intent to purchase.",Punch,571301
7-24YCC7AA.wav_transcription.json,Hot,"The customer showed strong engagement by asking detailed questions, confirmed their preference for the Nexon EV mid model long range, discussed exchange options, and expressed intent to purchase within 1-2 weeks.",Nexon,121004
7-24YAWEHY.wav_transcription.json,Cold,"The lead did not acknowledge making an inquiry on the Tata Motors website, showed minimal engagement, and did not express interest or ask relevant questions about the Tiago Eve.",Tiago,517583
5-28CGVEI7.wav_transcription.json,Cold,"The lead displayed a lack of engagement and specific interest, did not ask detailed questions about features or intent to purchase, and appeared to be uncertain about dealership locations and commitments.",Punch,852014
5-28FRALS0.wav_transcription.json,Hot,Customer expressed immediate interest in purchasing the Tiago and asked for special offers for immediate purchase if delivered today. Showed engagement in the conversation.,,180007
7-24X63HI3.wav_transcription.json,Warm,"The customer inquired about the Tiago EV, asked about the ex-showroom price and subsidies, and expressed interest in a test drive but showed no urgency, indicating a purchase plan for the first week of October.",Tiago,713341
7-24Y8XM8X.wav_transcription.json,Warm,"The lead expressed general interest in the Curvv electric car and discussed the local dealership, but did not show urgency in purchasing, instead mentioned needing a follow-up call due to being busy.",Curvv,
5-28EZSWF3.wav_transcription.json,Warm,"The lead expresses interest in purchasing a Tata Safari within a few months, inquires about models and pricing, and provides the PIN code for further follow-up.",Safari,723101
5-28H1LHII.wav_transcription.json,Hot,"The customer showed interest in the Tata Punch car, preferred the petrol automatic variant, and inquired about immediate activities like exchange and pricing options. He also intends to purchase within this month, showing urgency.",,784509
5-28G4LGPM.wav_transcription.json,Hot,"The customer, Mr. Manish Thakur, expressed immediate plans to purchase a Tata Tiyo CNG within a month, discussed specific preferences for manual transmission, and promptly shared the PIN code.",Tiago,110044
7-24WUL695.wav_transcription.json,Hot,"The lead expressed urgency to purchase within 10 days, confirmed interest in the Nexon electric car, and provided specific details including PIN code and employment status. He also inquired about dealership availability and confirmed he already has a parking space.",Nexon,193502
5-28EJ0ZZ4.wav_transcription.json,Warm,"The customer expressed general interest in the Tata Nexon, asked for the quotation, but mentioned a 2 to 3 months timeframe for potential purchase. This indicates interest without urgency.",Nexon,488001
5-28E7B191.wav_transcription.json,Warm,The customer showed interest in exchanging their Hyundai Creta for a Tata Motors vehicle but did not display any urgency or confirm the specific model or variant they were interested in. There was also mention of a 1-month timeline for further engagement.,,500034
5-289WPB3L.wav_transcription.json,Hot,"Customer expressed interest in purchasing Tata Safari with urgency, looking to buy within a month and inquired about festival discounts.",Safari,180001
5-28H4QIPJ.wav_transcription.json,Hot,"Customer asked for specific details about the Tata Punch, showed interest in a one-month timeframe for purchase, shared the necessary contact and financial details, and inquired about down payment and other charges.",Punch,752105
5-2888M5TT.wav_transcription.json,Hot,"Customer expressed intent to purchase the Tata Nexon within the month to avail current offers, confirmed interest in a specific model and variant (petrol automatic), and provided contact details including email.",Nexon,516390
5-283FG3QX.wav_transcription.json,Hot,"Customer showed strong interest in Tata Harrier, explicitly expressed intent to buy within 15 days, asked for manual transmission options, and engaged actively in the conversation.",Harrier,737101
7-24XQ9WUP.wav_transcription.json,Hot,"Customer expressed immediate interest in purchasing Tata Punch, asked detailed questions about features, variants, and pricing, and indicated a decision to purchase by next week.",Punch,284121
7-24XVMIBT.wav_transcription.json,Warm,"The customer expressed interest in the Nexon EV and asked about EMI rates, but mentioned plans to consider exchange after getting rate information and is planning a purchase next year, showing no urgency.",Nexon,122001
5-28G2ZVQQ.wav_transcription.json,Warm,"The customer expressed interest in purchasing, asked general questions about financing and EMI but lacked urgency. Mentioned potential interest in buying around Deepavali.",,
